patch,date [DD.MM.YYYY],time [HH:MM],water_temp [°C],ph [pH],do [mg l-1],do_sat [saturation],w_co2 [mATM],conductivity [uS cm -1],turb [NTU],rdna [boolean],gl_name,lat_sn [DD],lon_sn [DD],ele_sn [m],lat_sp [DD],lon_sp [DD],ele_sp [m],max_el [m],mean_el [m],sn_sp_dist [m],sn_sp_ele [m],abl_asp [°],gl_sa [km2],gl_cov [%],gl_a [km2],rgi_v6,glims_id,wgms_id,m_balance,mb_obs,fv_variation,fv_obs,sp_event,data_s,data_ts,sn_data,sn_data_ts,dem_data,dem_data_ts,mb_data_s,fv_data_s,sp_event_s,chla [ug g-1],eps [ugC g-1],ag [nmol g-1 h-1],ap [nmol g-1 h-1],bg [nmol g-1 h-1],lap [nmol g-1 h-1],nag [nmol g-1 h-1],bp [ngC g-1 h-1],wba [cells ml-1],sba [cells g-1],respiration [mg 02 g-1 h-1],abs254 [m-1],abs300 [m-1],suva [mg C l-1 m-1],e2e3 [proportion],e4e6 [proportion],s275295 [nm-1],s350400 [nm-1],s300700 [nm-1],sr [proportion],bix [proportion],fi [proportion],hix [proportion],coble_t [RU],coble_a [RU],coble_m [RU],coble_c [RU],doc [ug l-1],tss_1 [%],tss_2 [%],tss_3 [%],tss_4 [%],tss_5 [%],tss_5a [%],tss_5b [%],tss_5c [%],tss_5d [%],i1_na [ug l-1],i2_k [ug l-1],i3_mg [ug l-1],i4_ca [ug l-1],i5_cl [ug l-1],i6_so4 [ug l-1],n1_tn [ug l-1],n2_tp [ug l-1],n3_srp [ug l-1],n4_nh4 [ug l-1],n5_no3 [ug l-1],n6_no2 [ug l-1],hydro_isotope [per_mil],oxy_isotope [per_mil],Expedition
GL1_UP_1,22.01.19,10:00,2.4,7.81,13.3,99.9,406.3,60.1,363,0,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,NA,NA,397,136,NA,35.51,0.7,50.53,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,6.20E-06,0,0.013893716,0.212921469,0.005040966,1.08278125,0,40.976005,90048.552,5582103.22,0.003670463,7.535333333,5.488,2.354333333,1.957333333,0.937666667,0.007333333,0.006333333,0.005,1.153333333,1.469699333,1.920717,0.293888667,0.043792667,0.020522667,0.011431,0.006360333,143.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,32.1,44.2,NA,-57.9278,-9.12831,New Zealand
GL1_UP_2,22.01.19,10:00,2.4,7.81,13.3,99.9,406.3,60.1,363,0,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,NA,NA,397,136,NA,35.51,0.7,50.53,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,3.76E-05,0.205732,0.002292866,0.118450284,0.002649231,0.933340279,0,14.78712,NA,2385219.31,0.016843993,7.535333333,5.488,2.354333333,1.957333333,0.937666667,0.007333333,0.006333333,0.005,1.153333333,1.469699333,1.920717,0.293888667,0.043792667,0.020522667,0.011431,0.006360333,143.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,32.1,44.2,NA,-57.9278,-9.12831,New Zealand
GL1_UP_3,22.01.19,10:00,2.4,7.81,13.3,99.9,406.3,60.1,363,0,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,NA,NA,397,136,NA,35.51,0.7,50.53,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,0.000275467,0,0.001474181,0.106997484,0.007916985,0.614264541,0.01134831,13.139656,NA,1469103.36,0.031876561,7.535333333,5.488,2.354333333,1.957333333,0.937666667,0.007333333,0.006333333,0.005,1.153333333,1.469699333,1.920717,0.293888667,0.043792667,0.020522667,0.011431,0.006360333,143.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,32.1,44.2,NA,-57.9278,-9.12831,New Zealand
GL1_DN_1,22.01.19,14:26,3.1,7.71,13.4,100.1,442.6,49.4,347,0,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,NA,NA,2907,358,NA,35.51,0.61,58.17,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,8.47E-05,0,0.007477315,0.095905234,0.016368716,0.917579852,0,131.5078755,72695.47267,3840447.42,0.002736069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL1_DN_2,22.01.19,14:26,3.1,7.71,13.4,100.1,442.6,49.4,347,0,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,NA,NA,2907,358,NA,35.51,0.61,58.17,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,2.23E-05,0.977248,0.003576783,0.22405735,0.012694462,1.08317894,0,15.9140095,NA,1658472.02,0.005298178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL1_DN_3,22.01.19,14:26,3.1,7.71,13.4,100.1,442.6,49.4,347,0,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,NA,NA,2907,358,NA,35.51,0.61,58.17,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,0.0001969,0,0.000978696,0,0,0,0,1.349678,NA,1324035.94,0.003786589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL2_UP_1,25.01.19,08:37,0,9.11,12.8,99.6,130,64,227,0,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,NA,NA,56,11,NA,3.93,0.48,8.16,RGI60-18.02270,G170174E43508S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.006171672,0.016839823,0,0.879466216,0,NA,45343.76367,2392754.61,0.001938932,4.472,3.327666667,1.646333333,1.859333333,0.78,0.006666667,0.008,0.005333333,0.833666667,1.656915667,0.772029,0.242289,0.023981333,0.013495,0.007073,0.003622667,128.2333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,34.5,51.9,NA,-55.6222,-8.87943,New Zealand
GL2_UP_2,25.01.19,08:37,0,9.11,12.8,99.6,130,64,227,0,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,NA,NA,56,11,NA,3.93,0.48,8.16,RGI60-18.02270,G170174E43508S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.000505935,0.042248303,0.004442758,1.414806721,0.003067026,0.697755,NA,1145862.46,0.003505904,4.472,3.327666667,1.646333333,1.859333333,0.78,0.006666667,0.008,0.005333333,0.833666667,1.656915667,0.772029,0.242289,0.023981333,0.013495,0.007073,0.003622667,128.2333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,34.5,51.9,NA,-55.6222,-8.87943,New Zealand
GL2_UP_3,25.01.19,08:37,0,9.11,12.8,99.6,130,64,227,0,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,NA,NA,56,11,NA,3.93,0.48,8.16,RGI60-18.02270,G170174E43508S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.000916291,0.032583113,0.002146476,1.741233809,0.00373962,NA,NA,531115.009,0.003309395,4.472,3.327666667,1.646333333,1.859333333,0.78,0.006666667,0.008,0.005333333,0.833666667,1.656915667,0.772029,0.242289,0.023981333,0.013495,0.007073,0.003622667,128.2333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,34.5,51.9,NA,-55.6222,-8.87943,New Zealand
GL2_DN_1,25.01.19,11:59,1.2,8.32,12.8,101.2,327.6,78.8,164.3,0,Victoria,-43.4976,170.1397,1156,-43.4978,170.1291,1093,NA,NA,855,63,NA,4.08,0.41,9.99,RGI60-18.02270,G170174E43508S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.002605666,0.002085682,0,1.171216959,0,NA,37337.52733,732061.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL2_DN_2,25.01.19,11:59,1.2,8.32,12.8,101.2,327.6,78.8,164.3,0,Victoria,-43.4976,170.1397,1156,-43.4978,170.1291,1093,NA,NA,855,63,NA,4.08,0.41,9.99,RGI60-18.02270,G170174E43508S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.57E-06,0,0.006296183,0.057816741,0.001030671,0.05511674,0.011335691,6.999979,NA,725824.849,0.003519889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL2_DN_3,25.01.19,11:59,1.2,8.32,12.8,101.2,327.6,78.8,164.3,0,Victoria,-43.4976,170.1397,1156,-43.4978,170.1291,1093,NA,NA,855,63,NA,4.08,0.41,9.99,RGI60-18.02270,G170174E43508S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00216064,0,0,2.356448776,0.012270867,4.5611275,NA,637347.754,0.002718661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL3_UP_1,26.01.19,10:30,0.3,8.83,15.4,108.7,198.8,77.2,265.3,0,Fox,-43.5006,170.0667,454,-43.5006,170.059,338,NA,NA,628,116,NA,38.38,0.53,72.29,RGI60-18.02375,G170162E43537S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.001764532,0.26137385,0.005731684,0.733785808,0.017386175,2.4634605,34710.01233,1860135.3,0.00283015,9.656,8.505,1.831,1.375,1.414,0.003,0.003,0.003,1.193,NA,NA,NA,NA,NA,NA,NA,148.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,33.3,62.2,NA,-60.1377,-9.42479,New Zealand
GL3_UP_2,26.01.19,10:30,0.3,8.83,15.4,108.7,198.8,77.2,265.3,0,Fox,-43.5006,170.0667,454,-43.5006,170.059,338,NA,NA,628,116,NA,38.38,0.53,72.29,RGI60-18.02375,G170162E43537S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.011226291,0.020489867,0.002568844,0.64084794,0.003718985,0.600535,NA,940992.833,0.003755331,9.656,8.505,1.831,1.375,1.414,0.003,0.003,0.003,1.193,NA,NA,NA,NA,NA,NA,NA,148.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,33.3,62.2,NA,-60.1377,-9.42479,New Zealand
GL3_UP_3,26.01.19,10:30,0.3,8.83,15.4,108.7,198.8,77.2,265.3,0,Fox,-43.5006,170.0667,454,-43.5006,170.059,338,NA,NA,628,116,NA,38.38,0.53,72.29,RGI60-18.02375,G170162E43537S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.003270663,0.186593326,0.000584416,1.717565946,0,3.5380615,NA,2345197.47,0.001535527,9.656,8.505,1.831,1.375,1.414,0.003,0.003,0.003,1.193,NA,NA,NA,NA,NA,NA,NA,148.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,33.3,62.2,NA,-60.1377,-9.42479,New Zealand
GL3_DN_1,26.01.19,14:49,4.3,8.31,12.7,99.1,332.8,109.2,352.7,0,Fox,-43.5006,170.0667,454,-43.4869,170.0293,226,NA,NA,3469,228,NA,38.38,0.48,80.42,RGI60-18.02375,G170162E43537S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.002641974,0.068795589,0.004962168,0.023378758,0,32.161455,68821.41567,2513835.27,0.007262936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL3_DN_2,26.01.19,14:49,4.3,8.31,12.7,99.1,332.8,109.2,352.7,0,Fox,-43.5006,170.0667,454,-43.4869,170.0293,226,NA,NA,3469,228,NA,38.38,0.48,80.42,RGI60-18.02375,G170162E43537S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000577333,0,0.004873078,0.159522588,0.009807584,0.548033598,0.003973536,76.258925,NA,939536.887,0.004853569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL3_DN_3,26.01.19,14:49,4.3,8.31,12.7,99.1,332.8,109.2,352.7,0,Fox,-43.5006,170.0667,454,-43.4869,170.0293,226,NA,NA,3469,228,NA,38.38,0.48,80.42,RGI60-18.02375,G170162E43537S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65E-05,0,0.004500971,0.060944497,0.016953852,0,0,120.1987,NA,4088133.65,0.005929844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL5_UP_1,29.01.19,11:47,7.7,7.54,10.4,100.4,414.9,32.4,0.1,0,Lancelot,-42.9232,171.5044,1848,-42.9249,171.5141,1325,NA,NA,821,523,NA,0.03,0.06,0.46,RGI60-18.02895,G171502E42928S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070815333,0.916854,0.553971228,7.013279843,2.001145981,16.84533531,1.353023552,264.01735,27578.87367,42832194.6,0.014791015,0.492,0.334333333,0.266,2.302666667,2.367,0.01,0.020333333,0.011666667,0.598,NA,NA,NA,NA,NA,NA,NA,85.46666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,25.5,10,NA,-58.7893,-9.17892,New Zealand
GL5_UP_2,29.01.19,11:47,7.7,7.54,10.4,100.4,414.9,32.4,0.1,0,Lancelot,-42.9232,171.5044,1848,-42.9249,171.5141,1325,NA,NA,821,523,NA,0.03,0.06,0.46,RGI60-18.02895,G171502E42928S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150236333,1.786399,0.684113828,4.340904175,1.724594166,8.806956028,0.866513079,122.076685,NA,179200010,0.015972427,0.492,0.334333333,0.266,2.302666667,2.367,0.01,0.020333333,0.011666667,0.598,NA,NA,NA,NA,NA,NA,NA,85.46666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,25.5,10,NA,-58.7893,-9.17892,New Zealand
GL5_UP_3,29.01.19,11:47,7.7,7.54,10.4,100.4,414.9,32.4,0.1,0,Lancelot,-42.9232,171.5044,1848,-42.9249,171.5141,1325,NA,NA,821,523,NA,0.03,0.06,0.46,RGI60-18.02895,G171502E42928S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250707333,0.886249,0.597882586,6.736488529,2.912115776,14.95111801,1.114600323,411.4502,NA,176173799,0.020442632,0.492,0.334333333,0.266,2.302666667,2.367,0.01,0.020333333,0.011666667,0.598,NA,NA,NA,NA,NA,NA,NA,85.46666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,25.5,10,NA,-58.7893,-9.17892,New Zealand
GL5_DN_1,29.01.19,16:04,9.4,7.55,9.9,98.8,406.7,32.5,0,0,Lancelot,-42.9232,171.5044,1848,-42.9263,171.5149,1255,NA,NA,987,593,NA,0.03,0.05,0.54,RGI60-18.02895,G171502E42928S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405664333,3.58651,3.091565188,14.38285999,7.470045647,32.51788127,2.183266046,197.0739,33850.09833,359077722,0.029521997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL5_DN_2,29.01.19,16:04,9.4,7.55,9.9,98.8,406.7,32.5,0,0,Lancelot,-42.9232,171.5044,1848,-42.9263,171.5149,1255,NA,NA,987,593,NA,0.03,0.05,0.54,RGI60-18.02895,G171502E42928S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212072667,2.446532,1.316101109,12.56703403,6.638198242,63.97565871,1.690503634,188.7835,NA,279357873,0.035584347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL5_DN_3,29.01.19,16:04,9.4,7.55,9.9,98.8,406.7,32.5,0,0,Lancelot,-42.9232,171.5044,1848,-42.9263,171.5149,1255,NA,NA,987,593,NA,0.03,0.05,0.54,RGI60-18.02895,G171502E42928S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155349667,1.379348,0.51575829,13.62711963,4.186992948,27.21524447,1.176954218,274.58305,NA,196016071,0.043796829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL6_UP_1,30.01.19,13:53,8,7.6,10.3,100.5,429,9.2,7.8,0,Crow,-42.9216,171.5092,1694,-42.9241,171.5137,1362,NA,NA,462,332,NA,0.51,0.69,0.75,RGI60-18.02896,G171511E42916S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008811667,0,0.127150961,1.699398737,0.855367211,2.370663682,0.112010312,107.164665,28118.079,5320575.87,0.001745283,1.702333333,1.264,1.003666667,2.157666667,2.148666667,0.008,0.016666667,0.008666667,0.623,NA,NA,NA,NA,NA,NA,NA,75.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,24.9,14.8,NA,-49.4195,-8.02068,New Zealand
GL6_UP_2,30.01.19,13:53,8,7.6,10.3,100.5,429,9.2,7.8,0,Crow,-42.9216,171.5092,1694,-42.9241,171.5137,1362,NA,NA,462,332,NA,0.51,0.69,0.75,RGI60-18.02896,G171511E42916S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008560333,0,0.162775773,0.804564075,0.394005718,2.256514476,0.168713188,285.22375,NA,41607920.6,0.008350909,1.702333333,1.264,1.003666667,2.157666667,2.148666667,0.008,0.016666667,0.008666667,0.623,NA,NA,NA,NA,NA,NA,NA,75.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,24.9,14.8,NA,-49.4195,-8.02068,New Zealand
GL6_UP_3,30.01.19,13:53,8,7.6,10.3,100.5,429,9.2,7.8,0,Crow,-42.9216,171.5092,1694,-42.9241,171.5137,1362,NA,NA,462,332,NA,0.51,0.69,0.75,RGI60-18.02896,G171511E42916S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010128333,0,0.097571321,1.135319617,0.531364302,1.773854083,0.116203139,359.8213,NA,25200432.4,0.003429889,1.702333333,1.264,1.003666667,2.157666667,2.148666667,0.008,0.016666667,0.008666667,0.623,NA,NA,NA,NA,NA,NA,NA,75.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,24.9,14.8,NA,-49.4195,-8.02068,New Zealand
GL6_DN_1,30.01.19,09:48,8,8.15,10.5,99.6,434.2,15,0.9,0,Crow,-42.9216,171.5092,1694,-42.9307,171.5185,1118,NA,NA,1293,576,NA,0.57,0.19,3.01,RGI60-18.02896,G171511E42916S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003018667,0,0.028856227,0.358124659,0.123699179,0.725260794,0.042456882,39.264995,19991.85467,26031497.8,0.002844296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL6_DN_2,30.01.19,09:48,8,8.15,10.5,99.6,434.2,15,0.9,0,Crow,-42.9216,171.5092,1694,-42.9307,171.5185,1118,NA,NA,1293,576,NA,0.57,0.19,3.01,RGI60-18.02896,G171511E42916S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003021333,0,0.041362245,0.300589585,0.101805384,0.890108023,0.057476139,201.06935,NA,6037388.12,0.003168427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL6_DN_3,30.01.19,09:48,8,8.15,10.5,99.6,434.2,15,0.9,0,Crow,-42.9216,171.5092,1694,-42.9307,171.5185,1118,NA,NA,1293,576,NA,0.57,0.19,3.01,RGI60-18.02896,G171511E42916S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001037667,0,0.03132318,0.306318256,0.107920716,0.642956528,0.051440608,152.19254,NA,13156975.9,0.002055951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL7_UP_1,31.01.19,14:37,3,6.72,11,99.7,424.3,5.9,37.7,0,White ,-42.9993,171.3861,1898,-42.9984,171.3898,1750,NA,NA,318,148,NA,0.29,0.53,0.54,RGI60-18.02839,G171385E43000S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000225633,0.10742,0.004609316,0.107093477,0.015378587,0.709886688,0.001759867,84.831885,42098.903,2305758.01,NA,8.886,5.977666667,3.5,2.489333333,0.982666667,0.009,0.009,0.007333333,0.997,NA,NA,NA,NA,NA,NA,NA,121.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,23.1,23,NA,-45.3539,-7.44784,New Zealand
GL7_UP_2,31.01.19,14:37,3,6.72,11,99.7,424.3,5.9,37.7,0,White ,-42.9993,171.3861,1898,-42.9984,171.3898,1750,NA,NA,318,148,NA,0.29,0.53,0.54,RGI60-18.02839,G171385E43000S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000179,0,0.00817161,0.223166306,0.032840259,0.637672325,0.017646223,153.6589,NA,10733984.6,0.001326035,8.886,5.977666667,3.5,2.489333333,0.982666667,0.009,0.009,0.007333333,0.997,NA,NA,NA,NA,NA,NA,NA,121.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,23.1,23,NA,-45.3539,-7.44784,New Zealand
GL7_UP_3,31.01.19,14:37,3,6.72,11,99.7,424.3,5.9,37.7,0,White ,-42.9993,171.3861,1898,-42.9984,171.3898,1750,NA,NA,318,148,NA,0.29,0.53,0.54,RGI60-18.02839,G171385E43000S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00019,0,0.007189141,0.182406759,0.026315017,0.529683828,0.014999784,265.18075,NA,2802300.16,0.000565953,8.886,5.977666667,3.5,2.489333333,0.982666667,0.009,0.009,0.007333333,0.997,NA,NA,NA,NA,NA,NA,NA,121.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,23.1,23,NA,-45.3539,-7.44784,New Zealand
GL7_DN_1,31.01.19,17:50,3.6,6.84,11,100,384.9,6.3,32.3,0,White ,-42.9993,171.3861,1898,-42.9963,171.3913,1687,NA,NA,583,211,NA,0.31,0.41,0.76,RGI60-18.02839,G171385E43000S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000164,0,0.006401062,0.155102482,0.025221646,0.407556549,0.011249775,181.5384,35062.56967,1968438.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL7_DN_2,31.01.19,17:50,3.6,6.84,11,100,384.9,6.3,32.3,0,White ,-42.9993,171.3861,1898,-42.9963,171.3913,1687,NA,NA,583,211,NA,0.31,0.41,0.76,RGI60-18.02839,G171385E43000S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000351333,0,0.004386484,0.147763578,0.016019519,0.334487023,0.016975107,172.90735,NA,5104489.52,0.000528333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
